"Α/Α"	"Κωδικός "	"Περιγραφή"	"Από "	"Σε "	"Κίνηση κλεισίματος εκκρεμοτήτων αποθήκης"	"Ανενεργό"
4	435. ΕΝΤ=>ΔΣΘ	Δελτίο Συναρμολόγησης από Εντολή Συναρμολόγησης	ΕΝΤ	ΔΣΘ	PRODUCTION-ORDER	0
4	447. EΠΚ.Ε=>ΑΠΑ.Ε	Δελτίο Αναλώσεων από Δελτίο Παραγωγής	ΕΠΚ.Ε	ΑΠΑ.Ε		0
4	447. EΠΚ.Η=>ΑΠΑ.Η	Δελτίο Αναλώσεων από Δελτίο Παραγωγής	ΕΠΚ.Η	ΑΠΑ.Η		0
4	447. EΠΚ.Μ=>ΑΠΑ.Μ	Δελτίο Αναλώσεων από Δελτίο Κατασκευής (Μήτρας)	ΕΠΚ.Μ	ΑΠΑ.Μ		0
4	447. EΠΚ.Σ=>ΑΠΑ.Σ	Δελτίο Αναλώσεων από Δελτίο Διαφόρων Συνθέσεων	ΕΠΚ.Σ	ΑΠΑ.Σ		0
4	447. EΠΚ=>ΑΠΑ	Δελτίο Αναλώσεων από Δελτίο Παραγωγής	ΕΠΚ	ΑΠΑ		0
5	444. ΔΠΑ=>ΔΚΠ	Ακύρωση Δελτίου Παραγωγών-Αναλώσεων	ΔΠΑ	ΔΚΠ		0
6	448. ΕΠΚ=>ΕΠΡ	Ακύρωση Εισαγωγής από Παραγωγή	ΕΠΚ	ΕΠΡ		0
7	180. ΕΠΚ=>ΔΑΠ	Δελτίο αποστολής απο δελτίο παραγωγής για λογαριασμό συναλλασσόμενου	ΕΠΚ	ΔΑΠ		0
8	181. ΕΠΚ=>ΤΔΑ	Τιμολόγιο πώλησης απο δελτίο παραγωγής για λογαριασμό συναλλασσόμενου	ΕΠΚ	ΤΔΑ		0
9	182. ΔΠΕ=>ΔΑΠ	Δελτίο Αποστολής από Δελτίο Παραγωγής για λ/σμό συναλλασσόμενου	ΔΠΕ	ΔΑΠ		0
10	183. ΔΠΕ=>ΤΔΑ	Τιμολόγιο πώλησης από Δελτίο Παραγωγής για λ/σμό συναλλασσόμενου	ΔΠΕ	ΤΔΑ		0
10	2. ΔΠΕ.Φ=>ΤΕΔ.Φ	Τιμολόγιο Φασόν	ΔΠΕ.Φ	ΤΕΔΦ		0
11	184. ΔΠΕ=>ΔΑΠ (ΕΝΤ)	Δελτίο αποστολής από Δελτίο Παραγωγής για λ/σμό συναλλασσόμενου (από Εντολή)	ΔΠΕ	ΔΑΠ	STOCK-FUTURE	0
12	185. ΔΠΕ=>ΤΔΑ (ΕΝΤ)	Τιμολόγιο Πώλησης από Δελτίο Παραγωγής για λ/σμό συναλλασσόμενου (από Εντολή)	ΔΠΕ	ΤΔΑ	STOCK-RESERVE	0
1	301. ΠΕΝ=>ΔΕΝ	Δελτίο Ενδοδιακίνησης από Παραγγελία	ΠΕΝ	ΔΕΝ		0
1	301. ΠΕΝ=>ΠΝΑ	Κατάργηση παραγγελίας ενδοδιακίνησης	ΠΕΝ	ΠΝΑ		0
1	302. ΠΕΝ=>ΠΔΠ	Δέσμευση από Παραγγελία Ενδοδιακίνησης	ΠΕΝ	ΠΔΠ		0
1	303. ΠΔΠ=>ΔΣΓ	Δελτίο Ενδοδιακίνησης από Δέσμευση	ΠΔΠ	ΔΣΓ		0
